Log Monthly Quantity Seized (kg),month_number,Border_Department,Ocean_department,Department_Antioquia,Department_Arauca,"Department_Archipiélago de San Andrés, Providencia y Santa Catalina",Department_Atlántico,Department_Bogotá D.C.,Department_Bolívar,Department_Boyacá,Department_Caldas,Department_Caquetá,Department_Casanare,Department_Cauca,Department_Cesar,Department_Chocó,Department_Cundinamarca,Department_Córdoba,Department_Guainía,Department_Guaviare,Department_Huila,Department_La Guajira,Department_Magdalena,Department_Meta,Department_Nariño,Department_Norte de Santander,Department_Putumayo,Department_Quindío,Department_Risaralda,Department_Santander,Department_Sucre,Department_Tolima,Department_Valle del Cauca,Department_Vaupés,Department_Vichada,Percent Population in Urban Areas,HDI,GDI,Mean International Wealth Index,Infant Deaths per 1000 Live Births,Mean Years Schooling,Log Gross National Income Per Capita in 1000 USD,Life Expectancy,Population Density_x,Number of Corruption Cases,Percent of Total Corruption Cases for That Year,Number of Homicides that Year,Gini Coefficient,% Poorest Household (IWI under 30),Current income (millions pesos),Tax income (millions pesos),Transfers from national entities (millions of pesos),Current expensives linked to institutional performance,Operating Expenses,Area km2,Rural population,Urban population,Total population,Distance to Bogota,Population Density_y,Urban to Rural Population Ratio,Percent Urban Population,Percent Rural Population,Historical Attacks on Population By FARC (1993-2008),Historical Attacks on Population by ELN (1993-2008),Historical Attacks on Population by AUC (1993-2008),Historical Antinarcotics Operations (1993-2008),Historical Dismantling Labs (1993-2008),Total acts of terrorism,Total acts against police,Total subversive actions,Total acts of extorsion,Hectares of coca,Hectores of coca erdaicted manually ,Presence of coca cultivation (dummy),Civilians hurt by mines,Civilians killed by mines,Public force members hurt by mines,Public force members killed by mines,Events of Abandoned property,Events of Acts of Terrorism,Events of Threats,Events of Confinement,Events of Sexual Crimes,Events of Forced Disappearances,Events of Displacement,Events of Homicide,Events of Personal Physical Injuries,Events of Personal Pyschological Injuries,Events of Mine Explosions,Events of Loss of Estate,Events of Kiddnapping,Events of Torture,Lagged_Log_Monthly_Quantity_Seized_1,Lagged_Log_Monthly_Quantity_Seized_2,Lagged_Log_Monthly_Quantity_Seized_3,Lagged_Log_Monthly_Quantity_Seized_4,Lagged_Log_Monthly_Quantity_Seized_5,Lagged_Log_Monthly_Quantity_Seized_6,Rolling_3M_Log_Monthly_Quantity,Rolling_6M_Log_Monthly_Quantity,Rolling_3M_Std_Log_Monthly_Quantity,Rolling_6M_Std_Log_Monthly_Quantity,Rolling_3M_Min_Log_Monthly_Quantity,Rolling_6M_Min_Log_Monthly_Quantity,Rolling_3M_Max_Log_Monthly_Quantity,Rolling_6M_Max_Log_Monthly_Quantity,Rolling_3M_Range_Log_Monthly_Quantity,Rolling_6M_Range_Log_Monthly_Quantity,EMA_3M_Log_Monthly_Quantity,EMA_6M_Log_Monthly_Quantity,Momentum_3_6,Cumulative_Log_Monthly_Quantity_Seized_Per_Year,season_Spring,season_Summer,season_Winter,Growth_Rate_Lag_1_2,Growth_Rate_Lag_2_3,Growth_Rate_Lag_1_3
2.4849066497880004,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.551784007783534,-1.6702569979549655,-2.1680697053883575,-1.7275212118454324,0.5942293521360121,-0.6255598935174465,-1.7397056037867205,-1.214256865785541,-0.30556645511441766,-0.38940872412956673,-0.2573998241561067,-0.6732329662589506,2.037846317685288,1.3333037090019058,-0.39175796832340887,-0.37084195445158,-0.9114893553124448,-0.44184567151562226,-0.4428824092832324,1.4794891347041415,-0.9242526610286372,-0.5786282301253011,-0.7009959020376375,1.3768749418399429,-0.3218197873694584,-0.20325121105813845,-1.5887405322213335,1.5887405322213337,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7216775391222893,-0.3826476382268403,-0.31226497769516487,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2558643215858787,-0.6336103362097456,-0.15346207171924658,-0.5518586642492669,-0.307075424584608,-0.5541464132747469,-0.4811002626509428,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.326839579814009,-0.41400665274475734,-0.3665207271439346,-1.3325984277331058,-0.5789952485657663,-0.6304920136290014,0.1422645938790176,-1.3035820876771367,-1.338520276986275,-0.9773979023142098,-1.0184848082423759,-0.15874143320620665,0.18699552300357497,-1.0109745271605803,-0.8688345486255681,-1.0979997780404702,-0.654392827472415,-0.20986907672620828,0.4451535244936664,-1.1132305355803576,-1.113323621292035,-1.7989019175507417,-0.7744462666816638,-0.5619514869490164,1.7320508075688774,-0.5619514869490164,-0.13598817351881187,-0.1356612139196245,-0.13595004103587577
1.1817271953786161,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.551784007783534,-1.6702569979549655,-2.1680697053883575,-1.7275212118454324,0.5942293521360121,-0.6255598935174465,-1.7397056037867205,-1.214256865785541,-0.2937754656318889,-0.38940872412956673,-0.2573998241561067,-0.6732329662589506,0.4559922989534438,0.15055422348213995,-0.39175796832340887,-0.37084195445158,-0.9114893553124448,-0.44184567151562226,-0.4428824092832324,1.4794891347041415,-0.9242526610286372,-0.5786282301253011,-0.7009959020376375,1.3768749418399429,-0.3218197873694584,-0.20325121105813845,-1.5887405322213335,1.5887405322213337,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7216775391222893,-0.3826476382268403,-0.31226497769516487,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2558643215858787,-0.6336103362097456,-0.15346207171924658,-0.5518586642492669,-0.307075424584608,-0.5541464132747469,-0.4811002626509428,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.326839579814009,-0.41400665274475734,-0.3665207271439346,-0.46115975018086325,-1.3334566394577005,-0.5769851239494415,-0.6323770476503351,0.14156073772752137,-1.3048315242682706,-0.9110817218469612,-0.8416952575060666,-0.017997200334451176,0.057103439544198116,-1.0109745271605803,-0.8688345486255681,-0.9720791091321664,-0.654392827472415,-0.038046271378785204,0.4451535244936664,-0.8225148617932483,-0.955070611838849,0.032676791737067876,-0.6597140116308378,-0.5619514869490164,-0.5773502691896258,-0.5619514869490164,3.6848652618169706,-0.13566121408715195,-0.13595004085346316
0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.551784007783534,-1.6702569979549655,-2.1680697053883575,-1.7275212118454324,0.5942293521360121,-0.6255598935174465,-1.7397056037867205,-1.214256865785541,-0.3253720025694508,-0.38940872412956673,-0.2573998241561067,-0.6732329662589506,0.024577566572031775,-0.07839493241392759,-0.39175796832340887,-0.37084195445158,-0.9114893553124448,-0.44184567151562226,-0.4428824092832324,1.4794891347041415,-0.9242526610286372,-0.5786282301253011,-0.7009959020376375,1.3768749418399429,-0.3218197873694584,-0.20325121105813845,-1.5887405322213335,1.5887405322213337,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7216775391222893,-0.3826476382268403,-0.31226497769516487,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2558643215858787,-0.6336103362097456,-0.15346207171924658,-0.5518586642492669,-0.307075424584608,-0.5541464132747469,-0.4811002626509428,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.326839579814009,-0.41400665274475734,-0.3665207271439346,-0.9181753006468559,-0.4597714783715716,-1.332697283126756,-0.5788371438439623,-0.633858750415674,0.1432345899098061,-1.0412886082986612,-0.7644017398151514,-0.11605380065173745,-0.15793723220742747,-1.0109745271605803,-0.8688345486255681,-0.9720791091321664,-0.654392827472415,-0.038046271378785204,0.4451535244936664,-0.9417086665845263,-1.0013711198273687,0.3665167744723719,-0.6051517100682242,-0.5619514869490164,-0.5773502691896258,-0.5619514869490164,-0.13598817344568828,3.7324929584407083,1.7255119121523972
0.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.551784007783534,-1.6702569979549655,-2.1680697053883575,-1.7275212118454324,0.5942293521360121,-0.6255598935174465,-1.7397056037867205,-1.214256865785541,-0.27845456922584083,-0.38940872412956673,-0.2573998241561067,-0.6732329662589506,-0.2630322550155761,-0.3054902489909986,-0.39175796832340887,-0.37084195445158,-0.9114893553124448,-0.44184567151562226,-0.4428824092832324,1.4794891347041415,-0.9242526610286372,-0.5786282301253011,-0.7009959020376375,1.3768749418399429,-0.3218197873694584,-0.20325121105813845,-1.5887405322213335,1.5887405322213337,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7216775391222893,-0.3826476382268403,-0.31226497769516487,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2558643215858787,-0.6336103362097456,-0.15346207171924658,-0.5518586642492669,-0.307075424584608,-0.5541464132747469,-0.4811002626509428,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.326839579814009,-0.41400665274475734,-0.3665207271439346,-1.3325984277331058,-0.917965170151805,-0.45756370108219724,-1.3350155827322914,-0.5802650851915714,-0.6337534456769572,-1.0412886082986612,-1.0626495286618962,-0.11605380065173745,-0.5057093445850864,-1.0109745271605803,-0.8688345486255681,-0.9720791091321664,-1.3419899815022083,-0.038046271378785204,-0.3827898213535409,-1.2412018231017536,-1.178931444032045,1.0361670772073002,-0.6051517100682242,-0.5619514869490164,-0.5773502691896258,-0.5619514869490164,-0.13598817351881187,-0.13566121401312312,-0.13595004103587577
0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.551784007783534,-1.6702569979549655,-2.1680697053883575,-1.7275212118454324,0.5942293521360121,-0.6255598935174465,-1.7397056037867205,-1.214256865785541,-0.16393918204475721,-0.38940872412956673,-0.2573998241561067,-0.6732329662589506,-0.6944469873969881,-0.53814708352506,-0.39175796832340887,-0.37084195445158,-0.9114893553124448,-0.44184567151562226,-0.4428824092832324,1.4794891347041415,-0.9242526610286372,-0.5786282301253011,-0.7009959020376375,1.3768749418399429,-0.3218197873694584,-0.20325121105813845,-1.5887405322213335,1.5887405322213337,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7216775391222893,-0.3826476382268403,-0.31226497769516487,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2558643215858787,-0.6336103362097456,-0.15346207171924658,-0.5518586642492669,-0.307075424584608,-0.5541464132747469,-0.4811002626509428,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.326839579814009,-0.41400665274475734,-0.3665207271439346,-1.3325984277331058,-1.3334566394577005,-0.9165169998418715,-0.4593420371198856,-1.3372028311021626,-0.5800513691891913,-1.3768930891811328,-1.2045050769661625,-0.6419831974027322,-0.4487650296380187,-1.0109745271605803,-0.8688345486255681,-1.4560099231347379,-1.3419899815022083,-0.6983854418809244,-0.3827898213535409,-1.390948401360367,-1.3057602470353855,0.10495124164102547,-0.6051517100682242,-0.5619514869490164,-0.5773502691896258,1.7795130420052185,-0.13598817336504943,-0.13566121408715195,-0.13595004103587577
1.534714366238164,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5569470564647507,-1.2554663987357522,-2.0036962172328607,-1.48773260411003,0.8254355699509274,-0.1807628724722067,-1.467072965320134,-1.2926910902040352,-0.33437928856329285,-0.6832013143507761,-0.7044626766377643,-0.6714697678476097,-0.8382518981907923,-0.08766412900891009,-0.39146836751900393,-0.37058930979932797,-0.9066926911656117,-0.4417929502375342,-0.44277550039168195,1.4794891347041415,-0.9230291489666191,-0.5785446843460305,-0.7007226638898986,1.3768749418399429,-0.3218108469344641,-0.20328451479898993,-1.5941589611018239,1.5941589611018232,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7188775307992784,-0.3818467509536836,-0.3134127902452375,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2646728310809327,-0.6259844629423135,-0.15346207171924658,-0.5922609624638554,-0.35238602402252106,-0.5528918827641874,-0.4537983017708154,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.3216666371608354,-0.3732360781682817,-0.3665207271439346,-1.3325984277331058,-1.3334566394577005,-1.332697283126756,-0.9185785132889953,-0.4606499889663459,-1.338520276986275,-1.5364938299105984,-1.3571697853591849,-1.2819699854628528,-0.5780794622620269,-1.0109745271605803,-0.8688345486255681,-1.8948398952107857,-1.3419899815022083,-1.2971830620519653,-0.3827898213535409,-1.4658216904896737,-1.3963522491806284,0.7660133948093742,-0.6051517100682242,-0.5619514869490164,-0.5773502691896258,1.7795130420052185,-0.13598817336504943,-0.13566121393148597,-0.13595004087835533
1.5040773967762742,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5569470564647507,-1.2554663987357522,-2.0036962172328607,-1.48773260411003,0.8254355699509274,-0.1807628724722067,-1.467072965320134,-1.2926910902040352,-0.32743528598155525,-0.6832013143507761,-0.7044626766377643,-0.6714697678476097,-0.40683716580938023,-0.39910913460032177,-0.39146836751900393,-0.37058930979932797,-0.9066926911656117,-0.4417929502375342,-0.44277550039168195,1.4794891347041415,-0.9230291489666191,-0.5785446843460305,-0.7007226638898986,1.3768749418399429,-0.3218108469344641,-0.20328451479898993,-1.5941589611018239,1.5941589611018232,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7188775307992784,-0.3818467509536836,-0.3134127902452375,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2646728310809327,-0.6259844629423135,-0.15346207171924658,-0.5922609624638554,-0.35238602402252106,-0.5528918827641874,-0.4537983017708154,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.3216666371608354,-0.3732360781682817,-0.3665207271439346,-0.7943852687736769,-1.3334566394577005,-1.332697283126756,-1.3350155827322914,-0.9203476016388278,-0.4601943110887937,-1.329219637848626,-1.247981996216702,-0.4508162964561464,-0.5683497281944125,-1.0109745271605803,-0.8688345486255681,-1.3249294580855524,-1.3419899815022083,-0.5195219286367486,-0.3827898213535409,-1.1917040025087662,-1.2734129217733603,0.8143591666677386,-1.0990919672477806,-0.5619514869490164,-0.5773502691896258,1.7795130420052185,2.223826292348768,-0.13566121393148597,2.281538879364653
0.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5569470564647507,-1.2554663987357522,-2.0036962172328607,-1.48773260411003,0.8254355699509274,-0.1807628724722067,-1.467072965320134,-1.2926910902040352,3.2815569278907777,-0.6832013143507761,-0.7044626766377643,-0.6714697678476097,-0.40683716580938023,-0.5233163689730881,-0.39146836751900393,-0.37058930979932797,-0.9066926911656117,-0.4417929502375342,-0.44277550039168195,1.4794891347041415,-0.9230291489666191,-0.5785446843460305,-0.7007226638898986,1.3768749418399429,-0.3218108469344641,-0.20328451479898993,-1.5941589611018239,1.5941589611018232,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7188775307992784,-0.3818467509536836,-0.3134127902452375,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2646728310809327,-0.6259844629423135,-0.15346207171924658,-0.5922609624638554,-0.35238602402252106,-0.5528918827641874,-0.4537983017708154,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.3216666371608354,-0.3732360781682817,-0.3665207271439346,-0.8051294309962014,-0.7938560197044501,-1.332697283126756,-1.3350155827322914,-1.3372028311021626,-0.920821817226938,-1.1260831884390574,-1.3177634356940229,-0.458986861998092,-0.8702262617387396,-1.0109745271605803,-0.8688345486255681,-1.3249294580855524,-1.7246958366377958,-0.5195219286367486,-0.8436101786212586,-1.0608646093698182,-1.1893450662954208,0.4734433171551098,-1.0296462230714993,1.7795130420052185,-0.5773502691896258,-0.5619514869490164,-0.13598817336811891,2.253366872705999,2.2332793883100974
2.1972245773362196,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5569470564647507,-1.2554663987357522,-2.0036962172328607,-1.48773260411003,0.8254355699509274,-0.1807628724722067,-1.467072965320134,-1.2926910902040352,-0.2269711203389457,-0.6832013143507761,-0.7044626766377643,-0.6714697678476097,0.16838247736583592,-0.30734408830999604,-0.39146836751900393,-0.37058930979932797,-0.9066926911656117,-0.4417929502375342,-0.44277550039168195,1.4794891347041415,-0.9230291489666191,-0.5785446843460305,-0.7007226638898986,1.3768749418399429,-0.3218108469344641,-0.20328451479898993,-1.5941589611018239,1.5941589611018232,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7188775307992784,-0.3818467509536836,-0.3134127902452375,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2646728310809327,-0.6259844629423135,-0.15346207171924658,-0.5922609624638554,-0.35238602402252106,-0.5528918827641874,-0.4537983017708154,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.3216666371608354,-0.3732360781682817,-0.3665207271439346,-1.3325984277331058,-0.804627879324554,-0.792202097594386,-1.3350155827322914,-1.3372028311021626,-1.338520276986275,-1.1260831884390574,-1.4018378293867149,-0.4589868619980919,-0.8652987464280185,-1.0109745271605803,-0.8688345486255681,-1.3249294580855524,-1.7246958366377958,-0.5195219286367486,-0.8436101786212586,-1.3007797944943993,-1.3131985486520823,-0.41265504410551995,-1.0296462230714993,1.7795130420052185,-0.5773502691896258,-0.5619514869490164,-0.13598817351881187,-0.1356612139345935,-0.13595004103587577
0.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5569470564647507,-1.2554663987357522,-2.0036962172328607,-1.48773260411003,0.8254355699509274,-0.1807628724722067,-1.467072965320134,-1.2926910902040352,-0.32797384352954206,-0.6832013143507761,-0.7044626766377643,-0.6714697678476097,0.4559922989534438,-0.0867372093494118,-0.39146836751900393,-0.37058930979932797,-0.9066926911656117,-0.4417929502375342,-0.44277550039168195,1.4794891347041415,-0.9230291489666191,-0.5785446843460305,-0.7007226638898986,1.3768749418399429,-0.3218108469344641,-0.20328451479898993,-1.5941589611018239,1.5941589611018232,-0.955175790841479,-0.6355186336146865,-0.822022020034802,-0.8379140443897751,-0.8786442278260331,-0.4971009890111635,-0.2285109060234004,-0.3874004215178369,-0.7188775307992784,-0.3818467509536836,-0.3134127902452375,0.7386930670493608,-0.36249220398389753,-0.32965542399729403,-0.3896898427159557,-0.3031626778906687,-0.2881252178432047,-0.2646728310809327,-0.6259844629423135,-0.15346207171924658,-0.5922609624638554,-0.35238602402252106,-0.5528918827641874,-0.4537983017708154,-0.5945175277230738,-0.42616228200084727,-0.43683602994780485,-0.3216666371608354,-0.3732360781682817,-0.3665207271439346,-0.5620477593156713,-1.3334566394577005,-0.8029918151202092,-0.7941869078735234,-1.3372028311021626,-1.338520276986275,-1.0366064286203864,-1.2455155200849999,-0.22830876675969478,-0.6302206121996421,-1.0109745271605803,-0.8688345486255681,-1.0789087702540356,-1.4578587540137273,-0.18381878217795278,-0.5223086931670204,-0.9746903233788774,-1.1330129994526486,-0.6751596114486773,-0.9281967257101437,1.7795130420052185,-0.5773502691896258,-0.5619514869490164,3.2425182485375457,-0.13566121408715195,-0.13595004080576276
