month_number,Log Monthly Quantity Seized (kg),Percent Population in Urban Areas,HDI,GDI,Mean International Wealth Index,Infant Deaths per 1000 Live Births,Mean Years Schooling,Log Gross National Income Per Capita in 1000 USD,Life Expectancy,Population Density_x,Number of Corruption Cases,Percent of Total Corruption Cases for That Year,Number of Homicides that Year,Gini Coefficient,% Poorest Household (IWI under 30),Border_Department,Ocean_department,Current income (millions pesos),Tax income (millions pesos),Transfers from national entities (millions of pesos),Current expensives linked to institutional performance,Operating Expenses,Area km2,Rural population,Urban population,Total population,Distance to Bogota,Population Density_y,Urban to Rural Population Ratio,Percent Urban Population,Percent Rural Population,Historical Attacks on Population By FARC (1993-2008),Historical Attacks on Population by ELN (1993-2008),Historical Attacks on Population by AUC (1993-2008),Historical Antinarcotics Operations (1993-2008),Historical Dismantling Labs (1993-2008),Total acts of terrorism,Total acts against police,Total subversive actions,Total acts of extorsion,Hectares of coca,Hectores of coca erdaicted manually ,Presence of coca cultivation (dummy),Civilians hurt by mines,Civilians killed by mines,Public force members hurt by mines,Public force members killed by mines,Events of Abandoned property,Events of Acts of Terrorism,Events of Threats,Events of Confinement,Events of Sexual Crimes,Events of Forced Disappearances,Events of Displacement,Events of Homicide,Events of Personal Physical Injuries,Events of Personal Pyschological Injuries,Events of Mine Explosions,Events of Loss of Estate,Events of Kiddnapping,Events of Torture,Lagged_Log_Monthly_Quantity_Seized_1,Lagged_Log_Monthly_Quantity_Seized_2,Lagged_Log_Monthly_Quantity_Seized_3,Lagged_Log_Monthly_Quantity_Seized_4,Lagged_Log_Monthly_Quantity_Seized_5,Lagged_Log_Monthly_Quantity_Seized_6,Rolling_3M_Log_Monthly_Quantity,Rolling_6M_Log_Monthly_Quantity,Rolling_3M_Std_Log_Monthly_Quantity,Rolling_6M_Std_Log_Monthly_Quantity,Rolling_3M_Min_Log_Monthly_Quantity,Rolling_6M_Min_Log_Monthly_Quantity,Rolling_3M_Max_Log_Monthly_Quantity,Rolling_6M_Max_Log_Monthly_Quantity,Rolling_3M_Range_Log_Monthly_Quantity,Rolling_6M_Range_Log_Monthly_Quantity,EMA_3M_Log_Monthly_Quantity,EMA_6M_Log_Monthly_Quantity,Momentum_3_6,Cumulative_Log_Monthly_Quantity_Seized_Per_Year,season_Spring,season_Summer,season_Winter,Growth_Rate_Lag_1_2,Growth_Rate_Lag_2_3,Growth_Rate_Lag_1_3,Department_Antioquia,Department_Arauca,"Department_Archipiélago de San Andrés, Providencia y Santa Catalina",Department_Atlántico,Department_Bogotá D.C.,Department_Bolívar,Department_Boyacá,Department_Caldas,Department_Caquetá,Department_Casanare,Department_Cauca,Department_Cesar,Department_Chocó,Department_Cundinamarca,Department_Córdoba,Department_Guainía,Department_Guaviare,Department_Huila,Department_La Guajira,Department_Magdalena,Department_Meta,Department_Nariño,Department_Norte de Santander,Department_Putumayo,Department_Quindío,Department_Risaralda,Department_Santander,Department_Sucre,Department_Tolima,Department_Valle del Cauca,Department_Vaupés,Department_Vichada
17,2.5649493574615367,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,9.9828711606471,0.0,0.0,11,0.16,0.0851,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1e-10,2.1972245773362196,1e-10,1.5040773967762742,1.534714366238164,1e-10,0.7324081924454066,0.872669390058443,1.2685682011951287,0.9875304206566584,0.0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.1972245773362196,0.6970337005041888,0.8175675067490484,-0.3610979346457215,5.236016340350657,0,1,0,-0.9999999999544881,21972245772.362194,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,0.5232191394292139,0.0,0.0,11,0.17,0.103,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,2.5649493574615367,1e-10,2.1972245773362196,1e-10,1.5040773967762742,1.534714366238164,1.5873913115992522,1.3001609496353659,1.3869620616964071,1.0846056501128296,0.0,0.0,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,1.6309915289828627,1.3168194640954736,0.14026119761303646,7.800965697812194,0,1,0,25649493573.615368,-0.9999999999544881,0.16735875973639625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.23111172096338664,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,36.82896533202032,0.0,0.0,11,0.1,0.0215,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1e-10,2.5649493574615367,1e-10,2.1972245773362196,1e-10,1.5040773967762742,0.8549831191538456,1.0443752219290052,1.4808742019881762,1.1937078570580342,0.0,0.0,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,0.8154957644914314,0.9405853314967668,-0.2872303619638863,7.800965697812194,0,1,0,-0.9999999999610129,25649493573.615368,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.3862943611198906,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,10.801353778518884,0.0,0.0,11,0.16,0.0747,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,0.23111172096338664,1e-10,2.5649493574615367,1e-10,2.1972245773362196,1e-10,0.9320203594749744,0.8322142759601906,1.4188713793859944,1.2086926880301438,0.0,0.0,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,0.523303742727409,0.7378785856300868,0.1893921027751596,8.03207741877558,0,0,0,2311117208.6338663,-0.9999999999610129,-0.9098961855558381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3.3207101307494686,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,11.865260240221742,0.0,0.0,11,0.11,0.0272,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1.3862943611198906,0.23111172096338664,1e-10,2.5649493574615367,1e-10,2.1972245773362196,0.5391353606944257,1.063263336146839,0.7427058205595745,1.1488091400112996,0.0,0.0,1.3862943611198906,2.5649493574615367,1.3862943611198906,2.5649493574615367,0.9547990519236498,0.9231402357700307,-0.09980608351478382,9.418371779895471,0,0,0,4.998373234127365,2311117208.6338663,13862943610.198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.6134299337036377,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,69.1164606474315,0.0,0.0,11,0.07,0.0016,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,3.3207101307494686,1.3862943611198906,0.23111172096338664,1e-10,2.5649493574615367,1e-10,1.6460387376109153,1.2505109283823803,1.5610909452293948,1.428190475393348,0.23111172096338664,0.0,3.3207101307494686,3.3207101307494686,3.089598409786082,3.089598409786082,2.1377545913365594,1.6081602057641557,0.5241279754524134,12.739081910644941,0,0,0,1.395386018931,4.998373234127365,13.368419381358615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,209.40654289096173,0.0,0.0,11,0.13,0.0356,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1.6134299337036377,3.3207101307494686,1.3862943611198906,0.23111172096338664,1e-10,2.5649493574615367,2.1068114751909985,1.5194159173329866,1.057383611353151,1.290946430642716,1.3862943611198906,0.0,3.3207101307494686,3.3207101307494686,1.934415769629578,1.934415769629578,1.8755922625200987,1.6096658423182935,-0.39552780922853503,14.352511844348578,0,0,1,-0.5141310532456821,1.395386018931,0.16384368208802363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.1458304482115395,0.374,0.7,0.952,63.9,29.6,7.891,8.919,73.17,0.6186308394801545,1.0,0.0172413793103448,20,0.07,0.0036,1,0,13015.0,8665.0,1862.0,6174.0,6001.0,109665.0,47225.0,28163.0,75388.0,758.0909090909091,0.6874390188300734,0.5963578613022763,0.3735740436143683,0.6264259563856317,2.0,0.0,0.0,51.0,16.0,2.0,0.0,2.0,3.0,173.0,5.11,1.0,1.0,0.0,1.0,2.0,0.0,8.0,98.0,0.0,6.0,0.0,261.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,1e-10,1.6134299337036377,3.3207101307494686,1.3862943611198906,0.23111172096338664,1e-10,1.644713354817702,1.091924357756064,1.660576084508924,1.3001310540331374,0.0,0.0,3.3207101307494686,3.3207101307494686,3.3207101307494686,3.3207101307494686,0.9377961312600493,1.1497613159416382,-0.5873955578580119,14.352511844348578,0,0,1,-0.9999999999380202,-0.5141310532456821,-0.999999999969886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.2507587183471831,0.374,0.7,0.952,63.9,29.6,7.891,8.919,73.17,9.436140397274102,1.0,0.0172413793103448,20,0.14,0.0905,1,0,13015.0,8665.0,1862.0,6174.0,6001.0,109665.0,47225.0,28163.0,75388.0,758.0909090909091,0.6874390188300734,0.5963578613022763,0.3735740436143683,0.6264259563856317,2.0,0.0,0.0,51.0,16.0,2.0,0.0,2.0,3.0,173.0,5.11,1.0,1.0,0.0,1.0,2.0,0.0,8.0,98.0,0.0,6.0,0.0,261.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,0.1458304482115395,1e-10,1.6134299337036377,3.3207101307494686,1.3862943611198906,0.23111172096338664,0.586420127305059,1.1162294324579871,0.8924004071802812,1.2767892739982774,0.0,0.0,1.6134299337036377,3.3207101307494686,1.6134299337036377,3.3207101307494686,0.5418132897357945,0.86292392516161,-0.552788997061638,0.1458304482115395,0,0,1,1458304481.115395,-0.9999999999380202,-0.9096146382528153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0168571170664229,0.374,0.7,0.952,63.9,29.6,7.891,8.919,73.17,4433.501398170529,1.0,0.0172413793103448,20,0.06,0.001,1,0,13015.0,8665.0,1862.0,6174.0,6001.0,109665.0,47225.0,28163.0,75388.0,758.0909090909091,0.6874390188300734,0.5963578613022763,0.3735740436143683,0.6264259563856317,2.0,0.0,0.0,51.0,16.0,2.0,0.0,2.0,3.0,173.0,5.11,1.0,1.0,0.0,1.0,2.0,0.0,8.0,98.0,0.0,6.0,0.0,261.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,0.2507587183471831,0.1458304482115395,1e-10,1.6134299337036377,3.3207101307494686,1.3862943611198906,0.13219638885290738,1.119503932021953,0.12593410732494123,1.2740876037920548,0.0,0.0,0.2507587183471831,3.3207101307494686,0.2507587183471831,3.3207101307494686,0.3962860040414888,0.6880195803574881,0.5298093051529281,0.3965891665587226,1,0,0,0.7195223728822131,1458304481.115395,2507587182.471831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
